name,location,price,capacity,rating,reviews,description
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"An urban oasis nestled in the heart of Midtown, this property offers lush lawns, verdant tropical foliage."
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,$$,251-300 Guests,4.7,132,"Located in the heart of the city overlooking Piedmont Park, our venues celebrate what Atlanta is all about."
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,Monday Night Garage is one of Atlanta’s most charming and inviting private event spaces.
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,Factory Atlanta is a versatile wedding venue perfect for couples who love to get creative.
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,3,"Journeyman's Hall is a wedding venue located in South Downtown Atlanta, GA."
Grana,"Atlanta, GA",$$,151-200 Guests,5,1,Grana creates from-scratch meals in a warm and inviting setting for wedding receptions.
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,100,"Book your wedding, wedding reception or rehearsal dinner at Wahoo! and you can relax."
FORTH Hotel Atlanta,Georgia,$$$$,201-250 Guests,0,0,"FORTH Hotel Atlanta is a deluxe wedding venue in Atlanta, GA."
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,"Ambient + Studio in Atlanta, GA, is a unique wedding venue built in 1910."
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,"Villa Christina at Hyatt Regency is a hotel and wedding venue located in Atlanta, GA."
The Kimpton Shane,Atlanta,$$$,51-100 Guests,0,0,"The Kimpton Shane is a boutique hotel venue in Atlanta, GA."
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,0,0,Ecco Buckhead is an enchanting and elegant restaurant wedding venue.
The White Bull,"Decatur, GA",$$,51-100 Guests,0,0,The White Bull is a restaurant wedding venue specializing in Italian farm-to-table cuisine.
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,"Emory Conference Center Hotel is an elegant venue situated in Atlanta, GA."
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,The Wimbish House has been the destination for weddings and events for nearly a century.
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,92,Wow your guests in the Historic DeKalb Courthouse.
Renaissance Atlanta Midtown Hotel,Midtown Atlanta,$$$,300+ Guests,5,2,Renaissance Atlanta Midtown Hotel is a wedding venue in the arts and music district.
Callanwolde Fine Arts Center,GA,$$$,151-200 Guests,4.6,38,"Callanwolde Fine Arts Center is a unique wedding venue in Atlanta, GA."
SCAD Ivy Hall,Georgia,$$,101-150 Guests,4.5,4,"SCAD Ivy Hall is a historic wedding venue situated in Atlanta, GA."
